ht_mode,alpha_mshr_hit_factor,llc_extra_ns,llc_extra_cyc,tL1_hit_cyc,tL2_hit_cyc,tL3_hit_cyc,m1_L1_miss_rate,m2_L2_miss_rate,m3_L3_miss_rate,p1_L1_new_mshr_frac,p2_L2_new_mshr_frac,p3_L3_new_mshr_frac,dram_avg_cyc,amat_stats_cyc,amat_textbook_cyc,amat_textbook_mshr_cyc,abs_err_textbook,abs_err_textbook_mshr,dram_num_reads_data,dram_num_reads_inst,dram_num_reads_total,dram_num_writes,dram_read_bursts,dram_write_bursts,dram_bytes_read_data,dram_bytes_read_inst,dram_bytes_read_total,dram_bytes_read_data_MB,dram_avg_q_lat_cyc,dram_avg_bus_lat_cyc,dram_avg_mem_acc_lat_cyc,dram_tot_q_lat_ticks,dram_tot_bus_lat_ticks,dram_tot_mem_acc_lat_ticks,dram_bw_read_total_Bps,dram_bw_read_data_Bps,dram_bw_total_Bps,sys_avg_rd_bw_Bps,sim_seconds,sim_ticks,benchmark
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.033875,0.308222,0.39844,0.033875,0.308222,0.39844,242.53405405405405,6.309698155663915,7.567108616851076,5.224685072675953,1.2574104611871615,1.0850130829879614,217284.0,1644.0,218928.0,0.0,218928.0,0.0,6657963.0,47760.0,6705723.0,6.3495283126831055,190.0055255255255,10.006006006006006,242.53405405405405,13851977612.0,729468096.0,17681466188.0,66850128.0,66374003.0,66850128.0,139681187.04558656,0.10031,100309800456.0,620onmetpp_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.033875,0.308222,0.39844,0.033875,0.308222,0.39844,242.53405405405405,8.309698155663915,10.219089224351075,7.505711727238392,1.9093910686871602,0.8039864284255227,217284.0,1644.0,218928.0,0.0,218928.0,0.0,6657963.0,47760.0,6705723.0,6.3495283126831055,190.0055255255255,10.006006006006006,242.53405405405405,13851977612.0,729468096.0,17681466188.0,66850128.0,66374003.0,66850128.0,139681187.04558656,0.10031,100309800456.0,620onmetpp_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.00034,0.211657,1.0,0.00034,0.211657,1.0,239.9390690690691,4.033632717529828,4.037028879054113,4.012561027524814,0.003396161524285013,0.021071690005014077,4854.0,1559.0,6413.0,0.0,6413.0,0.0,147612.0,45155.0,192767.0,0.14077377319335938,187.41054054054055,10.006006006006006,239.9390690690691,400220671.0,21368116.0,512396867.0,1236863.0,947132.0,1236863.0,2633480.05183759,0.155852,155851569756.0,625x264_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.00034,0.211657,1.0,0.00034,0.211657,1.0,239.9390690690691,6.033632717529828,6.042587780454114,6.014915789870299,0.008955062924285606,0.018716927659529148,4854.0,1559.0,6413.0,0.0,6413.0,0.0,147612.0,45155.0,192767.0,0.14077377319335938,187.41054054054055,10.006006006006006,239.9390690690691,400220671.0,21368116.0,512396867.0,1236863.0,947132.0,1236863.0,2633480.05183759,0.155852,155851569756.0,625x264_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.003328,0.071886,0.995466,0.003328,0.071886,0.995466,236.16915915915916,4.145704456544817,4.165895462722567,4.060064135524723,0.020191006177749493,0.08564032102009467,9369.0,1560.0,10929.0,0.0,10929.0,0.0,286002.0,45156.0,331158.0,0.2727527618408203,183.64063063063062,10.006006006006006,236.16915915915916,668333828.0,36415428.0,859503896.0,5456390.0,4712368.0,5456390.0,11524724.82595096,0.060692,60691774473.0,638imagick_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.003328,0.071886,0.995466,0.003328,0.071886,0.995466,236.16915915915916,6.145704456544817,6.206352560962567,6.078689171827638,0.06064810441774959,0.06701528471717921,9369.0,1560.0,10929.0,0.0,10929.0,0.0,286002.0,45156.0,331158.0,0.2727527618408203,183.64063063063062,10.006006006006006,236.16915915915916,668333828.0,36415428.0,859503896.0,5456390.0,4712368.0,5456390.0,11524724.82595096,0.060692,60691774473.0,638imagick_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.078159,0.999935,0.102896,0.078159,0.999935,0.102896,232.97993993993995,11.298858507015042,21.513834172676145,12.98804752063296,10.214975665661102,1.6891890136179182,108248.0,1520.0,109768.0,0.0,109768.0,0.0,3316271.0,43919.0,3360190.0,3.162642478942871,180.4514114114114,10.006006006006006,232.97993993993995,6595993813.0,365746976.0,8516055669.0,82553274.0,81474271.0,82553274.0,172594198.61389244,0.040703,40703291631.0,degreeCentr
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.078159,0.999935,0.102896,0.078159,0.999935,0.102896,232.97993993993995,13.298858507015042,26.640041762626147,16.67328086722287,13.341183255611105,3.374422360207829,108248.0,1520.0,109768.0,0.0,109768.0,0.0,3316271.0,43919.0,3360190.0,3.162642478942871,180.4514114114114,10.006006006006006,232.97993993993995,6595993813.0,365746976.0,8516055669.0,82553274.0,81474271.0,82553274.0,172594198.61389244,0.040703,40703291631.0,degreeCentr
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.185846,0.102115,0.107747,0.185846,0.102115,0.107747,233.1060660660661,8.474389671944895,11.611831283824227,7.40697070304629,3.137441611879332,1.0674189688986049,81690.0,1554.0,83244.0,0.0,83244.0,0.0,2502339.0,44961.0,2547300.0,2.386416435241699,180.57753753753752,10.006006006006006,233.1060660660661,5005654568.0,277369008.0,6461758616.0,28347909.0,27847556.0,28347909.0,59288962.87368037,0.089858,89858478573.0,graphColoring
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.185846,0.102115,0.107747,0.185846,0.102115,0.107747,233.1060660660661,10.474389671944895,16.039621212524228,10.694914205765166,5.565231540579333,0.22052453382027082,81690.0,1554.0,83244.0,0.0,83244.0,0.0,2502339.0,44961.0,2547300.0,2.386416435241699,180.57753753753752,10.006006006006006,233.1060660660661,5005654568.0,277369008.0,6461758616.0,28347909.0,27847556.0,28347909.0,59288962.87368037,0.089858,89858478573.0,graphColoring
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.262461,0.462945,0.115838,0.262461,0.462945,0.115838,232.82093093093093,16.494619926592794,34.41164721210744,18.262768138104533,17.917027285514646,1.7681482115117397,166355.0,1540.0,167895.0,0.0,167895.0,0.0,5097050.0,44569.0,5141619.0,4.860925674438477,180.29240240240242,10.006006006006006,232.82093093093093,10079974718.0,559426140.0,13016794058.0,93124937.0,92317703.0,93124937.0,194618371.96769562,0.055212,55212053679.0,kCore
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.262461,0.462945,0.115838,0.262461,0.462945,0.115838,232.82093093093093,18.494619926592794,42.681407441457445,23.602569041486092,24.18678751486465,5.107949114893298,166355.0,1540.0,167895.0,0.0,167895.0,0.0,5097050.0,44569.0,5141619.0,4.860925674438477,180.29240240240242,10.006006006006006,232.82093093093093,10079974718.0,559426140.0,13016794058.0,93124937.0,92317703.0,93124937.0,194618371.96769562,0.055212,55212053679.0,kCore
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.364502,0.602598,0.018358,0.364502,0.602598,0.018358,233.00264264264266,17.022324798818925,51.79263272045522,30.86377809562379,34.77030792163629,13.841453296804865,145503.0,1819.0,147322.0,0.0,147322.0,0.0,4457916.0,52660.0,4510576.0,4.251399993896484,180.47411411411412,10.006006006006006,233.00264264264266,8853740084.0,490876904.0,11430696508.0,22426565.0,22164739.0,22426565.0,46878998.91566417,0.201126,201126479193.0,pageRank
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.364502,0.602598,0.018358,0.364502,0.602598,0.018358,233.00264264264266,19.022324798818925,64.02709800633521,38.95296100090414,45.00477320751628,19.930636202085214,145503.0,1819.0,147322.0,0.0,147322.0,0.0,4457916.0,52660.0,4510576.0,4.251399993896484,180.47411411411412,10.006006006006006,233.00264264264266,8853740084.0,490876904.0,11430696508.0,22426565.0,22164739.0,22426565.0,46878998.91566417,0.201126,201126479193.0,pageRank
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.124456,0.833344,0.046723,0.124456,0.833344,0.046723,233.08924924924926,12.01439556918028,26.29973506561189,15.331956013612054,14.285339496431611,3.3175604444317734,86995.0,1539.0,88534.0,0.0,88534.0,0.0,2664892.0,44505.0,2709397.0,2.5414390563964844,180.56072072072072,10.006006006006006,233.08924924924926,5323259166.0,294995288.0,6871895894.0,33476456.0,32926566.0,33476456.0,70009485.7808654,0.080934,80934403914.0,triangleCount
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.124456,0.833344,0.046723,0.124456,0.833344,0.046723,233.08924924924926,14.01439556918028,32.65573489153189,19.635252197674603,18.641339322351612,5.620856628494323,86995.0,1539.0,88534.0,0.0,88534.0,0.0,2664892.0,44505.0,2709397.0,2.5414390563964844,180.56072072072072,10.006006006006006,233.08924924924926,5323259166.0,294995288.0,6871895894.0,33476456.0,32926566.0,33476456.0,70009485.7808654,0.080934,80934403914.0,triangleCount
