ht_mode,alpha_mshr_hit_factor,llc_extra_ns,llc_extra_cyc,tL1_hit_cyc,tL2_hit_cyc,tL3_hit_cyc,m1_L1_miss_rate,m2_L2_miss_rate,m3_L3_miss_rate,p1_L1_new_mshr_frac,p2_L2_new_mshr_frac,p3_L3_new_mshr_frac,dram_avg_cyc,amat_stats_cyc,amat_textbook_cyc,amat_textbook_mshr_cyc,abs_err_textbook,abs_err_textbook_mshr,dram_num_reads_data,dram_num_reads_inst,dram_num_reads_total,dram_num_writes,dram_read_bursts,dram_write_bursts,dram_bytes_read_data,dram_bytes_read_inst,dram_bytes_read_total,dram_bytes_read_data_MB,dram_avg_q_lat_cyc,dram_avg_bus_lat_cyc,dram_avg_mem_acc_lat_cyc,dram_tot_q_lat_ticks,dram_tot_bus_lat_ticks,dram_tot_mem_acc_lat_ticks,dram_bw_read_total_Bps,dram_bw_read_data_Bps,dram_bw_total_Bps,sys_avg_rd_bw_Bps,sim_seconds,sim_ticks,benchmark
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.033875,0.308222,0.39844,0.033875,0.308222,0.39844,244.84096096096093,6.317641358192404,7.5767056266627275,5.226954097627347,1.2590642684703237,1.0906872605650566,230066.0,1744.0,231810.0,0.0,231810.0,0.0,6670745.0,47860.0,6718605.0,6.36171817779541,192.31243243243244,10.006006006006006,244.84096096096093,14845121780.0,772390920.0,18899942300.0,66931803.0,66455014.0,66931803.0,147796979.3887675,0.10038,100379859327.0,620onmetpp_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.033875,0.308222,0.39844,0.033875,0.308222,0.39844,244.84096096096093,8.317641358192404,10.228686234162728,7.507980752189786,1.9110448759703242,0.8096606060026179,230066.0,1744.0,231810.0,0.0,231810.0,0.0,6670745.0,47860.0,6718605.0,6.36171817779541,192.31243243243244,10.006006006006006,244.84096096096093,14845121780.0,772390920.0,18899942300.0,66931803.0,66455014.0,66931803.0,147796979.3887675,0.10038,100379859327.0,620onmetpp_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.00034,0.211657,1.0,0.00034,0.211657,1.0,242.08126126126126,4.033870707124876,4.037183038444874,4.012607740478053,0.003312331319997419,0.021262966646823145,5139.0,1654.0,6793.0,0.0,6793.0,0.0,147897.0,45250.0,193147.0,0.14104557037353516,189.55273273273272,10.006006006006006,242.08126126126126,428781361.0,22634276.0,547604517.0,1239277.0,948942.0,1239277.0,2789472.71392864,0.155855,155854544778.0,625x264_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.00034,0.211657,1.0,0.00034,0.211657,1.0,242.08126126126126,6.033870707124876,6.042741939844873,6.014962502823537,0.008871232719997124,0.018908204301339104,5139.0,1654.0,6793.0,0.0,6793.0,0.0,147897.0,45250.0,193147.0,0.14104557037353516,189.55273273273272,10.006006006006006,242.08126126126126,428781361.0,22634276.0,547604517.0,1239277.0,948942.0,1239277.0,2789472.71392864,0.155855,155854544778.0,625x264_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.003328,0.071886,0.995466,0.003328,0.071886,0.995466,240.14681681681682,4.146948159866286,4.16684274948796,4.060318248795468,0.019894589621674008,0.0866299110708173,9921.0,1657.0,11578.0,0.0,11578.0,0.0,286554.0,45253.0,331807.0,0.27327919006347656,187.61828828828828,10.006006006006006,240.14681681681682,723357394.0,38577896.0,925879770.0,5466332.0,4720814.0,5466332.0,12207422.09985914,0.0607,60700121118.0,638imagick_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.003328,0.071886,0.995466,0.003328,0.071886,0.995466,240.14681681681682,6.146948159866286,6.207299847727959,6.078943285098384,0.06035168786167322,0.06800487476790185,9921.0,1657.0,11578.0,0.0,11578.0,0.0,286554.0,45253.0,331807.0,0.27327919006347656,187.61828828828828,10.006006006006006,240.14681681681682,723357394.0,38577896.0,925879770.0,5466332.0,4720814.0,5466332.0,12207422.09985914,0.0607,60700121118.0,638imagick_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.078159,0.999935,0.102896,0.078159,0.999935,0.102896,237.6976276276276,11.345828330559995,21.551772523083006,12.999325251114824,10.205944192523011,1.6534969205548293,114615.0,1612.0,116227.0,0.0,116227.0,0.0,3322638.0,44011.0,3366649.0,3.1687145233154297,185.1690990990991,10.006006006006006,237.6976276276276,7166709523.0,387268364.0,9199752207.0,82512615.0,81433957.0,82512615.0,182309590.33510885,0.040802,40801627530.0,degreeCentr
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.078159,0.999935,0.102896,0.078159,0.999935,0.102896,237.6976276276276,13.345828330559995,26.677980113033005,16.684558597704736,13.33215178247301,3.338730267144742,114615.0,1612.0,116227.0,0.0,116227.0,0.0,3322638.0,44011.0,3366649.0,3.1687145233154297,185.1690990990991,10.006006006006006,237.6976276276276,7166709523.0,387268364.0,9199752207.0,82512615.0,81433957.0,82512615.0,182309590.33510885,0.040802,40801627530.0,degreeCentr
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.185846,0.102115,0.107747,0.185846,0.102115,0.107747,238.40150150150149,8.486882675848873,11.622659318154259,7.408930248878974,3.1357766423053857,1.0779524269698992,86496.0,1651.0,88147.0,0.0,88147.0,0.0,2507145.0,45058.0,2552203.0,2.3909997940063477,185.87297297297297,10.006006006006006,238.40150150150149,5455920275.0,293705804.0,6997787599.0,28377347.0,27876357.0,28377347.0,62725492.78302928,0.089938,89938041930.0,graphColoring
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.185846,0.102115,0.107747,0.185846,0.102115,0.107747,238.40150150150149,10.486882675848873,16.05044924685426,10.696873751597849,5.563566571005387,0.20999107574897558,86496.0,1651.0,88147.0,0.0,88147.0,0.0,2507145.0,45058.0,2552203.0,2.3909997940063477,185.87297297297297,10.006006006006006,238.40150150150149,5455920275.0,293705804.0,6997787599.0,28377347.0,27876357.0,28377347.0,62725492.78302928,0.089938,89938041930.0,graphColoring
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.262461,0.462945,0.115838,0.262461,0.462945,0.115838,237.6157657657658,16.56317081014246,34.47913401890215,18.280153190725905,17.915963208759692,1.7169823805834454,176140.0,1634.0,177774.0,0.0,177774.0,0.0,5106835.0,44663.0,5151498.0,4.870257377624512,185.08723723723725,10.006006006006006,237.6157657657658,10956931536.0,592342968.0,14066554344.0,93044662.0,92237973.0,93044662.0,205497311.40162364,0.055366,55365863049.0,kCore
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.262461,0.462945,0.115838,0.262461,0.462945,0.115838,237.6157657657658,18.56317081014246,42.74889424825215,23.619954094107456,24.18572343810969,5.056783283964997,176140.0,1634.0,177774.0,0.0,177774.0,0.0,5106835.0,44663.0,5151498.0,4.870257377624512,185.08723723723725,10.006006006006006,237.6157657657658,10956931536.0,592342968.0,14066554344.0,93044662.0,92237973.0,93044662.0,205497311.40162364,0.055366,55365863049.0,kCore
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.364502,0.602598,0.018358,0.364502,0.602598,0.018358,238.2441141141141,17.03939905638259,51.813767912256914,30.869661320635373,34.77436885587433,13.830262264252784,154063.0,1929.0,155992.0,0.0,155992.0,0.0,4466476.0,52770.0,4519246.0,4.259563446044922,185.7155855855856,10.006006006006006,238.2441141141141,9647058210.0,519765344.0,12375670274.0,22453862.0,22191674.0,22453862.0,49602934.38741466,0.201268,201268092771.0,pageRank
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.364502,0.602598,0.018358,0.364502,0.602598,0.018358,238.2441141141141,19.03939905638259,64.04823319813691,38.958844225915726,45.00883414175432,19.919445169533137,154063.0,1929.0,155992.0,0.0,155992.0,0.0,4466476.0,52770.0,4519246.0,4.259563446044922,185.7155855855856,10.006006006006006,238.2441141141141,9647058210.0,519765344.0,12375670274.0,22453862.0,22191674.0,22453862.0,49602934.38741466,0.201268,201268092771.0,pageRank
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.124456,0.833344,0.046723,0.124456,0.833344,0.046723,238.21720720720722,12.044082241311889,26.324584432472527,15.338658617215472,14.280502191160638,3.294576375903583,92111.0,1635.0,93746.0,0.0,93746.0,0.0,2670008.0,44601.0,2714609.0,2.5463180541992188,185.68867867867868,10.006006006006006,238.21720720720722,5796721346.0,312361672.0,7436526378.0,33506344.0,32955835.0,33506344.0,74054673.84282951,0.081018,81017762805.0,triangleCount
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.124456,0.833344,0.046723,0.124456,0.833344,0.046723,238.21720720720722,14.044082241311889,32.68058425839253,19.641954801278025,18.636502017080637,5.597872559966136,92111.0,1635.0,93746.0,0.0,93746.0,0.0,2670008.0,44601.0,2714609.0,2.5463180541992188,185.68867867867868,10.006006006006006,238.21720720720722,5796721346.0,312361672.0,7436526378.0,33506344.0,32955835.0,33506344.0,74054673.84282951,0.081018,81017762805.0,triangleCount
