ht_mode,alpha_mshr_hit_factor,llc_extra_ns,llc_extra_cyc,tL1_hit_cyc,tL2_hit_cyc,tL3_hit_cyc,m1_L1_miss_rate,m2_L2_miss_rate,m3_L3_miss_rate,p1_L1_new_mshr_frac,p2_L2_new_mshr_frac,p3_L3_new_mshr_frac,dram_avg_cyc,amat_stats_cyc,amat_textbook_cyc,amat_textbook_mshr_cyc,abs_err_textbook,abs_err_textbook_mshr,dram_num_reads_data,dram_num_reads_inst,dram_num_reads_total,dram_num_writes,dram_read_bursts,dram_write_bursts,dram_bytes_read_data,dram_bytes_read_inst,dram_bytes_read_total,dram_bytes_read_data_MB,dram_avg_q_lat_cyc,dram_avg_bus_lat_cyc,dram_avg_mem_acc_lat_cyc,dram_tot_q_lat_ticks,dram_tot_bus_lat_ticks,dram_tot_mem_acc_lat_ticks,dram_bw_read_total_Bps,dram_bw_read_data_Bps,dram_bw_total_Bps,sys_avg_rd_bw_Bps,sim_seconds,sim_ticks,benchmark
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.030137,0.672375,0.069097,0.030137,0.672375,0.069097,238.8542042042042,5.826192652591241,8.587008595182944,5.959410366088175,2.7608159425917025,0.13321771349693368,28324.0,2061.0,30385.0,0.0,30385.0,0.0,741043.0,51516.0,792559.0,0.7067136764526367,186.32567567567565,10.006006006006006,238.8542042042042,1885281430.0,101242820.0,2416775850.0,30534931.0,28550173.0,30534931.0,74921170.25369851,0.025956,25955814537.0,433milc
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.030137,0.672375,0.069097,0.030137,0.672375,0.069097,238.8542042042042,7.826192652591241,11.496279556432944,8.376455760090495,3.6700869038417023,0.5502631074992541,28324.0,2061.0,30385.0,0.0,30385.0,0.0,741043.0,51516.0,792559.0,0.7067136764526367,186.32567567567565,10.006006006006006,238.8542042042042,1885281430.0,101242820.0,2416775850.0,30534931.0,28550173.0,30534931.0,74921170.25369851,0.025956,25955814537.0,433milc
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.439759,0.998656,0.952246,0.439759,0.998656,0.952246,293.2218918918919,197.7965832913523,214.52237022695812,153.3468338355514,16.72578693560581,44.44974945580091,228781432.0,1769.0,228783201.0,23296652.0,228723388.0,23296652.0,5331234088.0,44042.0,5331278130.0,5084.261024475098,240.69336336336337,10.006006006006006,293.2218918918919,18332382605754.0,762106328816.0,22333212108650.0,378315206.0,378312080.0,484120030.0,1039026354.146637,14.092159,14092159265802.0,462libquantum
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.439759,0.998656,0.952246,0.439759,0.998656,0.952246,293.2218918918919,199.7965832913523,234.09499914407812,167.9906356101256,34.29841585272581,31.805947681226712,228781432.0,1769.0,228783201.0,23296652.0,228723388.0,23296652.0,5331234088.0,44042.0,5331278130.0,5084.261024475098,240.69336336336337,10.006006006006006,293.2218918918919,18332382605754.0,762106328816.0,22333212108650.0,378315206.0,378312080.0,484120030.0,1039026354.146637,14.092159,14092159265802.0,462libquantum
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.039316,0.871556,0.144984,0.039316,0.871556,0.144984,243.4402102102102,7.782125438941374,12.167752908083447,7.746667184124807,4.385627469142073,0.03545825481656628,22635.0,1800.0,24435.0,0.0,24435.0,0.0,592092.0,45144.0,637236.0,0.5646629333496094,190.91168168168167,10.006006006006006,243.4402102102102,1553420758.0,81417420.0,1980837778.0,81410375.0,75642983.0,81410375.0,199789091.66115987,0.007827,7827454377.0,473astar
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.039316,0.871556,0.144984,0.039316,0.871556,0.144984,243.4402102102102,9.782125438941375,15.588895778963446,10.450868084372715,5.806770340022071,0.6687426454313403,22635.0,1800.0,24435.0,0.0,24435.0,0.0,592092.0,45144.0,637236.0,0.5646629333496094,190.91168168168167,10.006006006006006,243.4402102102102,1553420758.0,81417420.0,1980837778.0,81410375.0,75642983.0,81410375.0,199789091.66115987,0.007827,7827454377.0,473astar
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.204466,0.530648,0.023901,0.204466,0.530648,0.023901,237.41702702702702,12.484084357225498,28.247939022497697,15.615405385384648,15.763854665272198,3.1313210281591495,177342.0,1810.0,179152.0,0.0,179152.0,0.0,4645302.0,45217.0,4690519.0,4.430105209350586,184.8884984984985,10.006006006006006,237.41702702702702,11030007318.0,596934464.0,14163734102.0,27281348.0,27018354.0,27281348.0,66687826.32139245,0.171931,171931349880.0,605mcf_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.204466,0.530648,0.023901,0.204466,0.530648,0.023901,237.41702702702702,14.484084357225498,35.547583241537694,20.347000302108487,21.063498884312196,5.862915944882989,177342.0,1810.0,179152.0,0.0,179152.0,0.0,4645302.0,45217.0,4690519.0,4.430105209350586,184.8884984984985,10.006006006006006,237.41702702702702,11030007318.0,596934464.0,14163734102.0,27281348.0,27018354.0,27281348.0,66687826.32139245,0.171931,171931349880.0,605mcf_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.122444,0.995579,0.999864,0.122444,0.995579,0.999864,284.36432432432434,59.25381304731629,63.066061899998424,37.07761536723083,3.8122488526821314,22.176197680085465,38052288.0,2110.0,38054398.0,8104487.0,38054151.0,8104487.0,998605413.0,52573.0,998657986.0,952.344334602356,231.8357957957958,10.006006006006006,284.36432432432434,2937830522588.0,126796431132.0,3603473731880.0,365140136.0,365120914.0,554799803.0,890487083.0624298,2.734999,2734999213716.0,619lbm_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.122444,0.995579,0.999864,0.122444,0.995579,0.999864,284.36432432432434,61.25381304731629,69.94758215227841,41.81269502113467,8.693769104962122,19.44111802618162,38052288.0,2110.0,38054398.0,8104487.0,38054151.0,8104487.0,998605413.0,52573.0,998657986.0,952.344334602356,231.8357957957958,10.006006006006006,284.36432432432434,2937830522588.0,126796431132.0,3603473731880.0,365140136.0,365120914.0,554799803.0,890487083.0624298,2.734999,2734999213716.0,619lbm_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.033875,0.308222,0.39844,0.033875,0.308222,0.39844,246.92870870870868,6.336110741929776,7.585390908049421,5.229007562254668,1.2492801661196449,1.107103179675108,255622.0,1911.0,257533.0,0.0,257533.0,0.0,6696301.0,48027.0,6744328.0,6.386090278625488,194.4001801801802,10.006006006006006,246.92870870870868,16671464688.0,858099956.0,21176231924.0,67078033.0,66600364.0,67078033.0,163928512.02151695,0.100545,100544510511.0,620onmetpp_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.033875,0.308222,0.39844,0.033875,0.308222,0.39844,246.92870870870868,8.336110741929776,10.237371515549421,7.510034216817107,1.9012607736196454,0.8260765251126694,255622.0,1911.0,257533.0,0.0,257533.0,0.0,6696301.0,48027.0,6744328.0,6.386090278625488,194.4001801801802,10.006006006006006,246.92870870870868,16671464688.0,858099956.0,21176231924.0,67078033.0,66600364.0,67078033.0,163928512.02151695,0.100545,100544510511.0,620onmetpp_s
